candidate_id,display_name
H2LA02149,Troy A. Carter
H2LA03105,Tia LeBrun
H2LA05126,Julia Letlow
H2MA09072,Stephen F. Lynch
H2MD04232,Glenn Ivey
H2MD05155,Steny H. Hoyer
H2MD06138,Dave Wallace
H2MD08175,George Gluck
H2MD08183,Mariela Roca
H2MI07123,Tom Barrett
H2MI10150,John James
H2MI10176,Carl Marlinga
H2MI11232,Matthew DenOtter
H2MI13204,Shri Thanedar
H2MI13246,Adam Hollier
H2MI13311,Steven Elliott
H2MN01223,Brad Finstad
H2MO02102,Ann Wagner
H2MO03167,Bethany E Mann
H2MO04199,Rick Brattin
H2MO04207,Mark Alford
H2MO07143,Eric Burlison
H2MS02203,Ron Eller
H2MS04258,Mike Ezell
H2MT02084,Al Olszewski
H2NC02253,Sandy Roberson
H2NC02287,Donald G. Davis
H2NC06098,Nida Allam
H2NC06114,Valerie P. Foushee
H2NC07096,David Rouzer
H2NC08185,Richard Hudson
H2NC13243,Pat Harrigan
H2NC14050,Chuck Edwards
H2NE01118,Mike Flood
H2NE02132,Tony Vargas
H2NH02260,Lily Tang Williams
H2NJ01187,Damon Galdo
H2NJ06210,Gregg Mele
H2NJ08232,Robert Menendez
H2NJ08265,Brian Varela
H2NJ13075,Bob Menendez
H2NM01144,Melanie A. Stansbury
H2NM02191,Gabe Vasquez
H2NV02395,Mark E. Amodei
H2NV04011,Steven Horsford
H2NY00010,Nydia M. Velázquez
H2NY01190,Nick LaLota
H2NY04244,Laura Gillen
H2NY06116,Grace Meng
H2NY10092,Hakeem S. Jeffries
H2NY10308,Dan Goldman
H2NY13096,Adriano Espaillat
H2NY14128,Tina Forte
H2NY17071,Jerrold Nadler
H2NY17162,Michael Lawler
H2NY19127,Marcus J. Molinaro
H2NY23228,Nicholas A. Langworthy
H2NY24127,Steven Holden
H2OH01194,Greg Landsman
H2OH03067,Michael R. Turner
H2OH03125,Joyce Beatty
H2OH04164,Tamie Wilson
H2OH05070,Martin Heberling III
H2OH09031,Marcy Kaptur
H2OH11169,Shontel Brown
H2OH13264,Emilia Strong Sykes
H2OH14064,Dave Joyce
H2OH15228,Mike Carey
H2OH16051,Max L. Miller
H2OH16069,Jonah Schulz
H2OK02315,Josh Brecheen
H2OK04055,Tom Cole
H2OR01133,Suzanne Bonamici
H2OR01240,David Russ
H2OR04095,Val Hoyle
H2OR06066,Andrea Salinas
H2PA04135,Scott Perry
H2PA17103,Chris Deluzio
H2PA18200,Summer L. Lee
H2PA18259,Bhavini Patel
H2RI02184,Seth Magaziner
H2SC02042,Jim Clyburn
H2SC02059,Joe Wilson
H2SC07280,Russell Fry
H2TN05347,Natisha Brooks
H2TN05446,Andrew Ogles
H2TN07103,David Kustoff
H2TX00064,Keith Self
H2TX01112,Nathaniel Moran
H2TX03126,Pete Sessions
H2TX05253,Ruth Torres
H2TX07119,Tina Cohen
H2TX08158,Jameson Ellis
H2TX08182,Morgan Luttrell
H2TX08232,Martin Etwop
H2TX14149,"Randy K. Weber, Sr."
H2TX16250,Deliris Montanez
H2TX18207,Carmen Montiel
H2TX21185,Ricardo Villarreal
H2TX23082,Henry Cuellar
H2TX30178,Jasmine Crockett
H2TX31044,John R. Carter
H2TX32182,Darrell Day
H2TX33040,Roger Williams
H2TX33073,Marc A. Veasey
H2TX34113,Mayra Flores
H2TX34220,Gregory Kunkle Jr.
H2TX35011,Joaquin Castro
H2TX35144,Greg Casar
H2VA02064,Jennifer A. Kiggans
H2VA02098,Nicolaus Sleister
H2VA08152,Karina Lipsman
H2VA10273,Dave Beckwith
H2VI00082,Stacey E. Plaskett
H2VT01076,Becca Balint
H2WA03100,Joe Kent
H2WA03134,Brent Hennrich
H2WA03217,Marie Gluesenkamp Perez
H2WA04165,Jerrod Sessler
H2WA05097,Ann Marie Danimus
H2WI02124,Mark Pocan
H2WY00166,Harriet M. Hageman
H3NY23010,Jim King
H4AL02139,Hampton Harris
H4AL02170,Shomari Figures
H4AL06098,Gary J. Palmer
H4AL06189,Elizabeth Anderson
H4AR02141,J. French Hill
H4AR04048,Bruce Westerman
H4AS00036,Aumua Amata Coleman Radewagen
H4AZ01194,Amish Shah
H4AZ01228,Marlene Galán-Woods
H4AZ02184,Jonathan Nez
H4AZ03109,Yassamin Ansari
H4AZ04115,Zuhdi Jasser
H4AZ06045,David Schweikert
H4AZ07134,Daniel Butierez
H4AZ08082,Bernadette Greene-Placentia
H4AZ08108,Abraham J. Hamadeh
H4CA06156,Ray Riehle
H4CA09093,Kevin Lincoln
H4CA09101,John McBride
H4CA10109,Katherine Piccinini
H4CA12055,Ro Khanna
H4CA12154,Lateefah Simon
H4CA14093,Vin Kruttiventi
H4CA15074,Anna Cheng Kramer
H4CA16049,Zoe Lofgren
H4CA16197,Sam T. Liccardo
H4CA19118,Sean Dougherty
H4CA20082,Jim Costa
H4CA20181,Vince Fong
H4CA23011,Maxine Waters
H4CA25214,Ceci Truman
H4CA26162,Michael Koslow
H4CA27111,George Whitesides
H4CA29141,Luz M. Rivas
H4CA30131,Nick Melvoin
H4CA30149,Laura Friedman
H4CA32137,Larry Thompson
H4CA32145,Christopher Ahuja
H4CA33119,Ted Lieu
H4CA35031,Norma J. Torres
H4CA36161,Claire Ragge Anderson
H4CA45170,Derek Tran
H4CA46137,David Pan
H4CA47085,Dave Min
H4CO03357,Jeff Hurd
H4CO04165,John Padora
H4CO04280,Trisha Calvarese
H4CO05105,River Gassen
H4CO05139,Joe Reagan
H4CO08034,Gabe Evans
H4CT04189,Daniel Miressi
H4DE00045,Sarah McBride
H4DE00078,John Whalen III
H4FL01197,Gay Valimont
H4FL01213,Aaron Dimmock
H4FL01247,Keith Gross
H4FL01288,Joel Rudman
H4FL02138,Yen Bailey
H4FL07137,Jennifer Adams
H4FL07152,Michael Johnson
H4FL08168,Mike Haridopolos
H4FL09182,Thomas Chalifoux
H4FL09190,Marcus Carter
H4FL11105,Barbie Harden Hall
H4FL13176,John Liccione
H4FL13234,Tony D'Arrigo
H4FL14091,Robert Neeld
H4FL14117,Rocky Rochford
H4FL14141,John Peters
H4FL14158,Ehsan Joarder
H4FL16161,Jan Schneider
H4FL16179,Eddie Speir
H4FL17060,Matthew Montavon
H4FL20023,Debbie Wasserman Schultz
H4FL20098,Luther Campbell
H4FL27028,Michael Arias
H4FL27036,Mike Davey
H4FL28042,Phil Ehr
H4GA01039,Buddy Carter
H4GA03100,Maura Keller
H4GA03126,Brian Jack
H4GA07283,Jeff Criswell
H4GA08125,Vinson Watkins
H4GA10071,Mike Collins
H4GA10113,Lexy Doherty
H4GA11061,Barry Loudermilk
H4GA11087,Tricia Pridemore
H4GA12051,Eugene Yu
H4GA14057,Shawn Harris
H4GA14099,Clarence Blalock
H4IA01127,David Pautsch
H4IA03172,Lanon Baccam
H4IL07037,Danny K. Davis
H4IL07177,Melissa Conyears-Ervin
H4IL08159,Mark Rice
H4IL11245,Charlie Kim
H4IL12060,Mike Bost
H4IL13241,Joshua Loyd
H4IN03182,Phil Goss
H4IN04248,Craig Haggard
H4IN05286,Deborah Pickett
H4IN06185,Jefferson Shreve
H4IN08249,Mark B. Messmer
H4IN09163,Tim Peck
