race_id,race_name,state,state_abbr,seat,support_candidate,support_party,support_amount,oppose_candidate,oppose_party,oppose_amount,cycle,total_amount,payment_count,latest_payment_date,latest_payment_direction,latest_payment_amount,latest_payment_candidate,latest_payment_party,special_election,state_name,district
2025-H-FL-06,FL-06 (2025),FL,FL,district 6,Randy Fine,REP,76889,,,0,2026,76889,2,2025-03-26,support,66644.64,Randy Fine,REP,2025 special election,Florida,6
2026-H-NJ-07,NJ-07 (2026),NJ,NJ,district 7,"Thomas H. Kean, Jr.",REP,48663,Rebecca Bennett,DEM,21194,2026,69857,6,2026-09-24,oppose,14647.72,Rebecca Bennett,DEM,,New Jersey,7
2026-H-MI-07,MI-07 (2026),MI,MI,district 7,Tom Barrett,REP,18180,William Lawrence,DEM,50021,2026,68201,9,2026-09-24,oppose,26198.12,William Lawrence,DEM,,Michigan,7
2026-H-NY-17,NY-17 (2026),NY,NY,district 17,Michael Lawler,REP,47734,Cait Conley,DEM,15209,2026,62943,6,2026-09-25,oppose,1133.61,Cait Conley,DEM,,New York,17
2026-H-MI-10,MI-10 (2026),MI,MI,district 10,Michael Bouchard,REP,11686,Christina Hines,DEM,36882,2026,48568,9,2026-09-24,oppose,17242.94,Christina Hines,DEM,,Michigan,10
2026-H-MI-08,MI-08 (2026),MI,MI,district 8,Tom Smith,REP,17595,Kristen McDonald Rivet,DEM,24163,2026,41758,8,2026-09-24,oppose,10000.00,Kristen McDonald Rivet,DEM,,Michigan,8
2026-H-IA-01,IA-01 (2026),IA,IA,district 1,Mariannette Miller-Meeks,REP,15923,Christina Bohannan,DEM,10767,2026,26690,3,2026-09-24,oppose,837.34,Christina Bohannan,DEM,,Iowa,1
2026-H-IA-03,IA-03 (2026),IA,IA,district 3,Zachary Nunn,REP,16676,Sarah Trone Garriott,DEM,7884,2026,24560,3,2026-09-24,oppose,851.49,Sarah Trone Garriott,DEM,,Iowa,3
2026-H-IA-02,IA-02 (2026),IA,IA,district 2,Joe Mitchell,REP,14793,Lindsay James,DEM,9552,2026,24345,3,2026-09-24,oppose,768.51,Lindsay James,DEM,,Iowa,2
2026-H-OH-05,OH-05 (2026),OH,OH,district 5,Robert E. Latta,REP,14112,Brian Shaver,DEM,4050,2026,18162,4,2026-09-24,oppose,1417.98,Brian Shaver,DEM,,Ohio,5
2026-H-OH-01,OH-01 (2026),OH,OH,district 1,Eric Conroy,REP,14675,Greg Landsman,DEM,3171,2026,17846,4,2026-09-24,oppose,977.33,Greg Landsman,DEM,,Ohio,1
2026-H-OH-09,OH-09 (2026),OH,OH,district 9,Derek Merrin,REP,13219,Marcy Kaptur,DEM,3091,2026,16310,4,2026-09-24,oppose,1047.42,Marcy Kaptur,DEM,,Ohio,9
2026-H-OH-13,OH-13 (2026),OH,OH,district 13,Carey Coleman,REP,12965,Emilia Strong Sykes,DEM,3280,2026,16245,4,2026-09-24,oppose,1236.37,Emilia Strong Sykes,DEM,,Ohio,13
2026-H-OH-07,OH-07 (2026),OH,OH,district 7,Max L. Miller,REP,12546,Brian Poindexter,DEM,3440,2026,15986,3,2026-09-24,oppose,2432.50,Brian Poindexter,DEM,,Ohio,7
2025-H-FL-01,FL-01 (2025),FL,FL,district 1,Jimmy Patronis,REP,10244,,,0,2026,10244,1,2025-03-25,support,10244.45,Jimmy Patronis,REP,2025 special election,Florida,1
2026-H-NH-02,NH-02 (2026),NH,NH,district 2,Lily Tang Williams,REP,8016,,,0,2026,8016,1,2026-09-10,support,8016.23,Lily Tang Williams,REP,,New Hampshire,2
