committee_id,coverage_end_date,side,label,amount,report_label,cycle
C00879510,2024-10-16,in,Refunds issued,0.00,Pre-General 2024,2024
C00879510,2024-10-16,out,Operating costs,2379508.48,Pre-General 2024,2024
C00879510,2024-10-16,out,Supporting and attacking candidates,44896018.94,Pre-General 2024,2024
C00879510,2024-10-16,out,Coordinated with a party,0.00,Pre-General 2024,2024
C00879510,2024-10-16,out,Transfers out,0.00,Pre-General 2024,2024
C00879510,2024-10-16,out,Everything else,0.00,Pre-General 2024,2024
C00879510,2024-09-30,in,Named individual donors,74950000.00,October Quarterly 2024,2024
C00879510,2024-09-30,in,Unnamed gifts of $200 and under,20.00,October Quarterly 2024,2024
C00879510,2024-09-30,in,Other political committees,0.00,October Quarterly 2024,2024
C00879510,2024-09-30,in,Party committees,0.00,October Quarterly 2024,2024
C00879510,2024-09-30,in,Transfers from affiliated committees,0.00,October Quarterly 2024,2024
C00879510,2024-09-30,in,Refunds issued,0.00,October Quarterly 2024,2024
C00879510,2024-09-30,out,Operating costs,6093447.31,October Quarterly 2024,2024
C00879510,2024-09-30,out,Supporting and attacking candidates,65825693.56,October Quarterly 2024,2024
C00879510,2024-09-30,out,Coordinated with a party,0.00,October Quarterly 2024,2024
C00879510,2024-09-30,out,Transfers out,0.00,October Quarterly 2024,2024
C00879510,2024-09-30,out,Everything else,0.00,October Quarterly 2024,2024
C00879510,2024-06-30,in,Named individual donors,8750000.00,July Quarterly 2024,2024
C00879510,2024-06-30,in,Unnamed gifts of $200 and under,0.00,July Quarterly 2024,2024
C00879510,2024-06-30,in,Other political committees,0.00,July Quarterly 2024,2024
C00879510,2024-06-30,in,Party committees,0.00,July Quarterly 2024,2024
C00879510,2024-06-30,in,Transfers from affiliated committees,0.00,July Quarterly 2024,2024
C00879510,2024-06-30,in,Refunds issued,0.00,July Quarterly 2024,2024
C00879510,2024-06-30,out,Operating costs,33740.08,July Quarterly 2024,2024
C00879510,2024-06-30,out,Supporting and attacking candidates,7748500.00,July Quarterly 2024,2024
C00879510,2024-06-30,out,Coordinated with a party,0.00,July Quarterly 2024,2024
C00879510,2024-06-30,out,Transfers out,0.00,July Quarterly 2024,2024
C00879510,2024-06-30,out,Everything else,0.00,July Quarterly 2024,2024
